id,aff,状态,冻结元宝,优惠券id,type,城市代码,管理员
"13980","499690618","初始","100","","1","",""
"13979","497792431","初始","100","","1","",""
"13978","4189909","初始","100","","1","",""
"13977","4189909","初始","100","","1","",""
"13976","505476480","初始","100","","1","",""
"13975","339206252","初始","100","","1","",""
"13974","505468040","初始","100","","1","",""
"13973","505464977","初始","100","","1","",""
"13972","505455634","初始","100","","1","",""
"13971","501001415","初始","100","","1","",""
"13970","504174126","初始","100","","1","",""
"13969","505443066","初始","100","","1","",""
"13968","505440476","初始","100","","1","",""
"13967","399119038","初始","100","","1","",""
"13966","405478558","初始","200","","1","",""
"13965","505314831","初始","100","","1","",""
"13964","503644707","初始","100","","1","",""
"13963","274321033","初始","100","","1","",""
"13962","358399489","初始","100","","1","",""
"13961","487048907","初始","100","","1","",""
"13960","437563510","初始","100","","1","",""
"13959","505286446","初始","200","","1","",""
"13958","505286446","初始","200","","1","",""
"13957","457536626","取消","100","0","1","",""
"13956","475723532","初始","100","","1","",""
"13955","55742842","初始","100","","1","",""
"13954","505288835","初始","100","","1","",""
"13953","222677900","初始","100","","1","",""
"13952","351873738","初始","100","","1","",""
"13951","505218431","初始","100","","1","",""
"13950","351986656","初始","100","","1","",""
"13949","70004695","初始","100","","1","",""
"13948","505171096","初始","100","","1","",""
"13947","278105112","初始","100","","1","",""
"13946","504578607","初始","200","","1","",""
"13945","428690534","初始","100","","1","",""
"13944","417396439","初始","100","","1","",""
"13943","505136841","初始","200","","1","",""
"13942","505117334","初始","100","","1","",""
"13941","505115337","初始","100","","1","",""
"13940","468143355","初始","100","","1","",""
"13939","497473540","初始","100","","1","",""
"13938","503952535","初始","100","","1","",""
"13937","462159698","初始","200","","1","",""
"13936","505072780","初始","100","","1","",""
"13935","383982659","初始","200","","1","",""
"13934","504455042","初始","100","","1","",""
"13933","496343351","初始","100","","1","",""
"13932","469401893","初始","100","","1","",""
"13931","496343351","初始","100","","1","",""
"13930","503836356","初始","100","","1","",""
"13929","305151401","初始","100","","1","",""
"13928","426543434","初始","100","","1","",""
"13927","487571196","初始","100","","1","",""
"13926","504971324","初始","100","","1","",""
"13925","479592232","初始","100","","1","",""
"13924","80618409","初始","100","","1","",""
"13923","82245559","初始","100","","1","",""
"13922","382105883","初始","100","","1","",""
"13921","440854524","初始","100","","1","",""
"13920","456289575","初始","200","","1","",""
"13919","357032257","初始","100","","1","",""
"13918","502292131","初始","100","","1","",""
"13917","488680756","初始","100","","1","",""
"13916","485487804","初始","100","","1","",""
"13915","297457541","初始","100","","1","",""
"13914","370880870","初始","100","","1","",""
"13913","297457541","初始","100","","1","",""
"13912","415601631","初始","100","","1","",""
"13911","504848485","初始","100","","1","",""
"13910","504837996","初始","200","","1","",""
"13909","503002368","初始","100","","1","",""
"13908","504820135","初始","100","","1","",""
"13907","499709490","初始","100","","1","",""
"13906","504421025","初始","200","","1","",""
"13905","504805107","初始","100","","1","",""
"13904","504294044","初始","100","","1","",""
"13903","11221255","初始","100","","1","",""
"13902","279556974","初始","100","","1","",""
"13901","504762574","初始","100","","1","",""
"13900","499315324","初始","200","","1","",""
"13899","441164218","初始","100","","1","",""
"13898","502266409","初始","200","","1","",""
"13897","385170301","初始","100","","1","",""
"13896","492453947","初始","100","","1","",""
"13895","503873856","初始","100","","1","",""
"13894","504733556","初始","100","","1","",""
"13893","500823943","初始","100","","1","",""
"13892","392224164","初始","100","","1","",""
"13891","502133137","初始","100","","1","",""
